2024-03-18T02:00:30.005+09:00  WARN 3508 --- [http-nio-80-exec-5] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'memberNo' for method parameter type long is not present]
2024-03-18T02:09:11.630+09:00  INFO 8008 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 8008 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:09:11.633+09:00  INFO 8008 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:09:12.726+09:00  INFO 8008 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:09:12.737+09:00  INFO 8008 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:09:12.738+09:00  INFO 8008 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:09:12.800+09:00  INFO 8008 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:09:12.801+09:00  INFO 8008 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1130 ms
2024-03-18T02:09:13.337+09:00  INFO 8008 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:09:13.628+09:00  INFO 8008 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:09:13.639+09:00  INFO 8008 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.391 seconds (process running for 3.748)
2024-03-18T02:10:07.580+09:00  INFO 11388 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 11388 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:10:07.582+09:00  INFO 11388 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:10:08.460+09:00  INFO 11388 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:10:08.471+09:00  INFO 11388 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:10:08.471+09:00  INFO 11388 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:10:08.538+09:00  INFO 11388 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:10:08.538+09:00  INFO 11388 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 914 ms
2024-03-18T02:10:09.089+09:00  INFO 11388 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:10:09.395+09:00  INFO 11388 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:10:09.403+09:00  INFO 11388 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.212 seconds (process running for 2.507)
2024-03-18T02:10:15.543+09:00  INFO 11388 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:10:15.543+09:00  INFO 11388 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:10:15.544+09:00  INFO 11388 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:11:12.114+09:00  INFO 18692 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 18692 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:11:12.116+09:00  INFO 18692 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:11:12.951+09:00  INFO 18692 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:11:12.963+09:00  INFO 18692 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:11:12.963+09:00  INFO 18692 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:11:13.024+09:00  INFO 18692 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:11:13.024+09:00  INFO 18692 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 867 ms
2024-03-18T02:11:13.549+09:00  INFO 18692 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:11:13.839+09:00  INFO 18692 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:11:13.849+09:00  INFO 18692 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.113 seconds (process running for 2.395)
2024-03-18T02:11:15.483+09:00  INFO 18692 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:11:15.483+09:00  INFO 18692 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:11:15.484+09:00  INFO 18692 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:15:16.507+09:00  INFO 14096 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 14096 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:15:16.509+09:00  INFO 14096 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:15:17.462+09:00  INFO 14096 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:15:17.473+09:00  INFO 14096 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:15:17.473+09:00  INFO 14096 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:15:17.538+09:00  INFO 14096 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:15:17.539+09:00  INFO 14096 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 990 ms
2024-03-18T02:15:18.028+09:00  INFO 14096 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:15:18.294+09:00  INFO 14096 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:15:18.306+09:00  INFO 14096 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.18 seconds (process running for 2.451)
2024-03-18T02:15:20.367+09:00  INFO 14096 --- [http-nio-80-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:15:20.367+09:00  INFO 14096 --- [http-nio-80-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:15:20.367+09:00  INFO 14096 --- [http-nio-80-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2024-03-18T02:16:30.753+09:00  WARN 14096 --- [http-nio-80-exec-2] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'memberNo' for method parameter type long is not present]
2024-03-18T02:18:42.510+09:00  INFO 7588 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 7588 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:18:42.512+09:00  INFO 7588 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:18:43.385+09:00  INFO 7588 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:18:43.396+09:00  INFO 7588 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:18:43.397+09:00  INFO 7588 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:18:43.458+09:00  INFO 7588 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:18:43.459+09:00  INFO 7588 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 901 ms
2024-03-18T02:18:43.957+09:00  INFO 7588 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:18:44.207+09:00  INFO 7588 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:18:44.220+09:00  INFO 7588 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.089 seconds (process running for 2.368)
2024-03-18T02:26:04.671+09:00  INFO 19624 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 19624 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:26:04.673+09:00  INFO 19624 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:26:05.555+09:00  INFO 19624 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:26:05.566+09:00  INFO 19624 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:26:05.566+09:00  INFO 19624 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:26:05.624+09:00  INFO 19624 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:26:05.624+09:00  INFO 19624 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 908 ms
2024-03-18T02:26:06.203+09:00  INFO 19624 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
